Date,Title,Author
5/21/2021,The Unspoken Name,A. K. Larkwood
5/23/2021,Harrow the Ninth,Tamsyn Muir
5/23/2021,The Strange Bird,Jeff Vandemeer
5/28/21,A Crown of Swords,Robert Jordan
6/1/21,The Obelisk Gate,N. K. Jemisin
6/7/21,All the Birds in the Sky,Charlie Jane Anders
6/8/21,Mangos and Mistletoe,Adriana Herrera
6/18/21,Godsgrave,Jay Kristoff
6/21/21,Hummingbird Salamander,Jeff Vandemeer
6/26/21,The Echo Wife,Sarah Gailey
6/26/21,River of Teeth,Sarah Gailey
7/3/21,The City in the middle of the night,Charlie Jane Anders
7/17/21,Darkdawn,Jay Kristoff
7/30/21,Deathless Divide,Justina Ireland
8/12/21,The Path of Daggers,Robert Jordan
8/24/21,The Ballad of Songbirds and Snakes,Suzanne Collins
8/31/21,The House in the Cerulean Sea,TJ Klune
9/10/21,Stormdancer,Jay Kristoff
9/13/21,Nueromancer,William Gibson
9/22/21,Winter's Heart,Robert Jordan
9/30/21,The Stone Sky,N. K. Jemisin
10/2/21,The Last Girl Support Group,Grady Hendrix
10/27,True Names and the opening of the cyberspace frontier,Vernor Vinge
11/16,Axiom's End,Lindsay Ellis
11/30,It,Stephen King
12/8,The Wild Robot,Peter Brown
12/15/21,Queen Teeth,Hailey Piper
12/29/21,Roxy,Neal and Jarrod Shusterman
1/25/22,Truth of the Divine,Lindsay Ellis
1/26/22,The Escapement,Lavie Tidhar
2/9/22,Kinslayer,Jay Kristoff
2/20/22,All of us Villains,Amanda Foody and Christine Lynn Herman
3/13/22,Crossroads of Twilight,Robert Jordan 
3/22/22,Friday Black,Nana Kwame Adjei-Brenyah
4/11/22,Battle of the Linguist Mages,Scotto Moore
4/18/22,"The Long Way to a Small, Angry Planet",Becky Chambers 
4/29/22,The Every,Dave Eggers
5/3/22,Tender is the Flesh,Augustina Bazterrica
6/2/22,Even Greater Mistakes,Charlie Jane Anders
6/15/22,The Well of Ascension ,Brandon Sanderson 
6/28/22,Count Zero,William Gibson 
7/12/22,A Closed and Common Orbit,Becky Chambers
7/14/22,"Change Your Questions, Change Your Life",Marilee Adams
7/20/22,The Art of Possibility,Rosamond Stone Zander
8/16/22,The Book of Living Secrets,Madeleine Roux
8/17/22,The Wind Through the Keyhole,Stephen King
8/23/22,The Doula's Guide to Empowering Your Birth,Lindsey Bliss
8/27/22,Knife of Dreams,Robert Jordan
9/7/22,The Potlikker Papers,John T Edge
9/14/22,Caste,Isabel Wilkerson 
9/16/22,Curse of Salem,Kay Cooper
9/19/22,The Color of Magic,Terry Pratchett 
9/24/22,Pride and Prejudice ,Jane Austen
10/2/22,Appleseed,Matt Bell
10/17/22,The Cybernetic Teashop ,Meredith Katz 
10/25/22,Dracula,Bram Stoker 
10/31/22,A Burglar's Guide to the City,Geoff Manaugh
11/3/22,Record of a Spaceborn Few,Becky Chambers 
11/16/22,Gearbreakers,Zoe Hana Mikuta
11/19/22,The Rise of the Warrior Cop,Radley Balko
11/26/22,The Light Fantastic,Terry Pratchett 
12/10/22,The Galaxy and the Ground Within,Becky Chambers
12/15/22,The Hero of Ages,Brandon Sanderson 
12/17/22,Ghost Eaters,Clay McLeod Chapman
12/17/22,Call Me by Your Name,André Aciman
12/19/22,"To Be Taught, If Fortunate",Becky Chambers 
12/21/22,Meddling Kids,Edgar Cantaro
1/2/23,The Death of Jane Lawrence,Caitlin Starling
1/13/23,The Gathering Storm,Robert Jordan and Brandon Sanderson 
1/14/23,Equal Rites,Terry Pratchett 
1/18/23,Rust in the Root,Justina Ireland
1/20/23,Mort,Terry Pratchett 
1/21/23,We are all so Good at Smiling ,Amber McBride 
1/22/23,A Psalm for the Wild-Built,Becky Chambers 
