Date Watched,Title,Director,Year
2/17/24,The Raid,Gareth Evans,2011
2/17/24,The Raid 2,Gareth Evans,2014
2/17/24,Pink Flamingo,John Waters,1972
2/19/24,Mary and the Witch's Flower,Hiromasa Yonebayashi,2017
2/24/24,Starship Troopers,Paul Verhoeven,1997
2/24/24,Club Dread,Jay Chandrasekhar,2004
1/3/24,Mean Girls (2024),Samantha Jayne,2024
3/5/24,The Wonderful Story of Henry Sugar,Wes Anderson ,2023
3/5/24,Anatomy of a Fall,Justine Triet,2023
3/5/24,IT: Chapter 1,Andrés Muschietti,2017
3/9/24,Poor Things,Yorgos Lanthimos,2023
4/20/24,Surf's Up,Ash Brannon,2007
5/12/24,Jurassic Park,Steven Spielberg,1993
5/11/24,Godzilla Minus One,Takashi Yamazaki,2023
5/26/24,The Mummy,,
6/6/24,Bodies Bodies Bodies,,
6/8/24,Love Lies Bleeding,,2024
6/12/24,Hit Man,,2024
8/24/24,Longlegs,,2024
9/20/24,Inside out 2,,
9/22/24,A Quiet place: Day 1,,
10/1/24,Puss in Boots: The Last Wish,,
10/12/24,Friday the 13th part 2,,
10/16/24,Friday the 13th part 3,,
10/23/24,Hide and Seek,,
10/24/24,Late Night with the Devil,,
10/25/24,Terrifier,,
11/10/24,The Manchurian Candidate,,
11/11/24,The Whale,,
11/23/24,Speak no Evil,,
11/24/24,Lake Mungo,,
1/1/25,Lord of the Rings: Fellowship of the Ring,,
1/25/25,Lord of the Rings: The Two Towers,,
2/23/25,Sonic the Hedgehog ,Jeff Fowler,
4/13/25,The Super Mario Bros Movie,,
5/2/25,Death of a Unicorn,,
5/3/25,Sinners,,2025
5/6/25,Cowboy Bebop: The Movie,,2001
5/10/25,Challengers,,2024
5/23/25,Friendship,,2025
5/26/25,Princess Mononoke ,,1996
6/28/25,Memories of Murder ,,2003
6/30/25,Grizzly Man,,2003
7/1/25,The Worst Person in the World ,,2021
7/3/25,Hell House LLC,,2015
7/6/25,Michael Clayton ,,
7/8/25,Fish Tank,,
7/20/25,28 Years Later,,
7/25/25,A Minecraft Movie,,
7/30/25,Frances Ha,,
8/10/25,Weapons,,2025
8/20/25,The Gleaners and I,,
9/1/25,Bring Her Back,,2025
9/12/25,"To Wong Foo, thanks for everything ",,1995
9/21/25,Boogie Nights,,
11/14/25,The Naked Gun,,
11/15/25,Weird: The Al Yankovic Story,,
11/16,Lord of the Rings: Return of the King,,
11/16/25,Fantastic Four,,
,Wake Up Dead Man,,
,Avatar,,
,Avatar: Way of Water,,
,There Will be Blood,,
,The Northman,,
,Nosferatu ,,
,The Hitchhikers Guide to the Galaxy,,
,One Battle After Another ,,
,Chainsaw Man: The Reze Arc,,
,Walk Hard: The Dewey Cox Story,,
,Frankenstein,,
,The Chronology of Water,,
,Marty Supreme,,
,28 Years Later: The Bone Temple,,
,Bugonia,,
,"Good Luck, Have Fun, Don't Die ",,
3/22/26,Ballerina,,
3/26/26,The Favourite ,,
3/28/26,If I had Legs I'd kick you ,,
3/29/26,The Killing of a Sacred Deer,,
